EmployeeNumber,EmployeeName,Department,JobRole,Attrition_Prob,Risk,occupation_title,gap_count,skill_gap,recommendation
1766,Wang Gonzalez,Research & Development,Healthcare Representative,0.625,HIGH,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,"Microsoft Office software, Reading Comprehension, Speaking, Writing",Priority: Microsoft Office software -> Microsoft Office Essentials
1767,Ashley Reddy,Research & Development,Research Scientist,0.938,HIGH,Natural Sciences Managers,3,"Microsoft Office software, Microsoft PowerPoint, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
1768,Paul Roberts,Research & Development,Laboratory Technician,0.347,MEDIUM,Chemical Technicians,4,"Microsoft Excel, Microsoft Office software, Microsoft Outlook, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1770,Lee Moreau,Research & Development,Research Director,0.05,LOW,Natural Sciences Managers,3,"Microsoft Excel, Microsoft Office software, Microsoft PowerPoint",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1771,Wei Thompson,Research & Development,Research Scientist,0.026,LOW,Natural Sciences Managers,2,"Active Listening, Writing",Priority: Active Listening -> Active Listening for Managers
1772,Margaret Clark (1772),Research & Development,Laboratory Technician,0.193,LOW,Chemical Technicians,4,"Microsoft Excel, Microsoft Office software, Science, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1774,Olga Mitchell,Sales,Sales Executive,0.018,LOW,Sales Managers,3,"Active Listening, Microsoft Outlook, Speaking",Priority: Active Listening -> Active Listening for Managers
1775,Sandra Singh (1775),Research & Development,Manufacturing Director,0.093,LOW,Industrial Production Managers,3,"Microsoft Office software, Microsoft PowerPoint, Monitoring",Priority: Microsoft Office software -> Microsoft Office Essentials
1778,Mark Harris,Human Resources,Human Resources,0.054,LOW,Human Resources Specialists,4,"Critical Thinking, Reading Comprehension, Speaking, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
1779,Nancy Iyer,Sales,Sales Executive,0.435,MEDIUM,Sales Managers,1,Critical Thinking,Priority: Critical Thinking -> Structured Problem Solving workshop
1780,Brian Green (1780),Sales,Sales Representative,0.973,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,"Salesforce software, Writing",Priority: Writing -> Business Writing Essentials
1782,Jonas Patel,Research & Development,Laboratory Technician,0.065,LOW,Chemical Technicians,3,"Microsoft Excel, Monitoring, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1783,Sofia Thomas,Research & Development,Laboratory Technician,0.851,HIGH,Chemical Technicians,2,"Critical Thinking, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1784,Elena Taylor,Sales,Sales Executive,0.525,MEDIUM,Sales Managers,4,"Active Listening, Microsoft Excel, Microsoft Office software, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1786,Zhang Perez,Research & Development,Manager,0.055,LOW,General and Operations Managers,3,"Active Learning, Active Listening, Microsoft PowerPoint",Priority: Active Listening -> Active Listening for Managers
1787,Lisa Ivanova,Sales,Sales Executive,0.532,MEDIUM,Sales Managers,2,"Active Listening, Microsoft Outlook",Priority: Active Listening -> Active Listening for Managers
1789,Zhang Kim,Research & Development,Research Director,0.035,LOW,Natural Sciences Managers,1,Science,Priority: Science -> Domain Science Fundamentals (role-specific)
1790,Mei Carter (1790),Research & Development,Healthcare Representative,0.546,MEDIUM,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,"Active Listening, Microsoft Excel, Speaking, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1792,Kevin Petrov,Research & Development,Research Scientist,0.38,MEDIUM,Natural Sciences Managers,4,"Microsoft Office software, Microsoft PowerPoint, Monitoring, Writing",Priority: Microsoft Office software -> Microsoft Office Essentials
1794,Choi Moore,Human Resources,Human Resources,0.068,LOW,Human Resources Specialists,2,"Active Learning, Critical Thinking",Priority: Critical Thinking -> Structured Problem Solving workshop
1797,Sandra Jones,Sales,Sales Executive,0.77,HIGH,Sales Managers,2,"Microsoft Excel, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1798,Ivan Yang,Research & Development,Research Scientist,0.129,LOW,Natural Sciences Managers,2,"Microsoft Office software, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
1799,Tran Kim,Research & Development,Research Scientist,0.016,LOW,Natural Sciences Managers,2,"Active Listening, Microsoft Office software",Priority: Active Listening -> Active Listening for Managers
1800,Charles Yang,Research & Development,Research Director,0.081,LOW,Natural Sciences Managers,3,"Microsoft Office software, Reading Comprehension, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
1801,Daniel Torres (1801),Sales,Sales Executive,0.568,MEDIUM,Sales Managers,2,"Microsoft Excel, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1802,Aisha Hall,Research & Development,Laboratory Technician,0.19,LOW,Chemical Technicians,1,Writing,Priority: Writing -> Business Writing Essentials
1803,Wang Liu,Research & Development,Healthcare Representative,0.17,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Active Listening, Microsoft Excel, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1804,Olga Shah,Research & Development,Manufacturing Director,0.002,LOW,Industrial Production Managers,5,"Active Listening, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1805,Christopher Scott,Human Resources,Human Resources,0.046,LOW,Human Resources Specialists,4,"Active Listening, Applicant tracking software, Microsoft Office software, Microsoft Outlook",Priority: Active Listening -> Active Listening for Managers
1807,Patricia Thomas,Research & Development,Laboratory Technician,0.506,MEDIUM,Chemical Technicians,3,"Active Listening, Microsoft Office software, Microsoft Outlook",Priority: Active Listening -> Active Listening for Managers
1809,Priya Harris (1809),Research & Development,Manufacturing Director,0.241,LOW,Industrial Production Managers,1,Critical Thinking,Priority: Critical Thinking -> Structured Problem Solving workshop
1812,Fatima Petrov,Sales,Sales Executive,0.058,LOW,Sales Managers,2,"Microsoft Outlook, Speaking",Priority: Microsoft Outlook -> Effective Email & Calendar Management
1813,Ananya Iyer,Research & Development,Research Scientist,0.228,LOW,Natural Sciences Managers,4,"Critical Thinking, Microsoft Office software, Microsoft PowerPoint, Monitoring",Priority: Critical Thinking -> Structured Problem Solving workshop
1814,Melissa Farooq,Research & Development,Healthcare Representative,0.275,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Reading Comprehension, Salesforce software, Speaking",Priority: Reading Comprehension -> Business Writing & Comprehension
1815,Robert Novak,Sales,Sales Executive,0.202,LOW,Sales Managers,4,"Microsoft Excel, Microsoft Outlook, Reading Comprehension, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1816,Anna Lewis,Research & Development,Manufacturing Director,0.737,HIGH,Industrial Production Managers,1,Microsoft Excel,Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1818,Margaret Rahman,Human Resources,Human Resources,0.484,MEDIUM,Human Resources Specialists,2,"Microsoft Excel, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1821,Margaret Gupta,Research & Development,Healthcare Representative,0.026,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Critical Thinking, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1822,Yuki Hussain,Research & Development,Healthcare Representative,0.005,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Microsoft Office software, Writing",Priority: Microsoft Office software -> Microsoft Office Essentials
1823,Matthew Martin,Sales,Sales Executive,0.101,LOW,Sales Managers,4,"Microsoft Excel, Microsoft PowerPoint, Monitoring, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1824,Ali Siddiqui,Sales,Manager,0.037,LOW,General and Operations Managers,4,"Critical Thinking, Microsoft Excel, Microsoft PowerPoint, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1826,Olga Schmidt,Research & Development,Laboratory Technician,0.517,MEDIUM,Chemical Technicians,1,Reading Comprehension,Priority: Reading Comprehension -> Business Writing & Comprehension
1827,Kenneth Choi,Research & Development,Manufacturing Director,0.506,MEDIUM,Industrial Production Managers,5,"Active Listening, Learning Strategies, Microsoft Office software, Monitoring, Reading Comprehension",Priority: Active Listening -> Active Listening for Managers
1829,Choi Clark,Research & Development,Healthcare Representative,0.076,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Microsoft Excel, Microsoft Office software, Salesforce software",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1830,Pooja Chen,Research & Development,Research Scientist,0.028,LOW,Natural Sciences Managers,2,"Critical Thinking, Microsoft PowerPoint",Priority: Critical Thinking -> Structured Problem Solving workshop
1833,Deborah Jackson (1833),Sales,Sales Executive,0.54,MEDIUM,Sales Managers,4,"Active Learning, Microsoft Excel, Microsoft Office software, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1834,Mark Williams,Research & Development,Research Scientist,0.064,LOW,Natural Sciences Managers,2,"Active Listening, Science",Priority: Active Listening -> Active Listening for Managers
1835,Melissa Sanchez,Sales,Sales Representative,0.678,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",3,"Active Learning, Microsoft Office software, Salesforce software",Priority: Microsoft Office software -> Microsoft Office Essentials
1836,Nguyen Miller,Sales,Sales Executive,0.513,MEDIUM,Sales Managers,2,"Microsoft Office software, Speaking",Priority: Microsoft Office software -> Microsoft Office Essentials
1837,Vikram Kowalski,Research & Development,Research Director,0.093,LOW,Natural Sciences Managers,1,Writing,Priority: Writing -> Business Writing Essentials
1839,Nancy Hill,Research & Development,Research Scientist,0.224,LOW,Natural Sciences Managers,1,Microsoft PowerPoint,Priority: Microsoft PowerPoint -> Presentation Design Fundamentals
1842,Elena Flores,Human Resources,Human Resources,0.515,MEDIUM,Human Resources Specialists,2,"Active Listening, Critical Thinking",Priority: Critical Thinking -> Structured Problem Solving workshop
1844,Sergei Johnson (1844),Human Resources,Human Resources,0.976,HIGH,Human Resources Specialists,1,Microsoft Excel,Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1845,Steven Adams,Sales,Sales Executive,0.019,LOW,Sales Managers,3,"Microsoft Outlook, Monitoring, Reading Comprehension",Priority: Reading Comprehension -> Business Writing & Comprehension
1847,Ivan Rivera (1847),Research & Development,Research Scientist,0.182,LOW,Natural Sciences Managers,2,"Microsoft Excel, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1849,Kevin Hernandez (1849),Sales,Sales Executive,0.156,LOW,Sales Managers,1,Microsoft PowerPoint,Priority: Microsoft PowerPoint -> Presentation Design Fundamentals
1850,Stephanie Carter,Research & Development,Laboratory Technician,0.657,HIGH,Chemical Technicians,1,Science,Priority: Science -> Domain Science Fundamentals (role-specific)
1852,Lee Brown,Research & Development,Laboratory Technician,0.217,LOW,Chemical Technicians,3,"Monitoring, Reading Comprehension, Writing",Priority: Reading Comprehension -> Business Writing & Comprehension
1853,Park Schmidt,Sales,Sales Executive,0.747,HIGH,Sales Managers,5,"Active Learning, Critical Thinking, Microsoft Outlook, Microsoft PowerPoint, Monitoring",Priority: Critical Thinking -> Structured Problem Solving workshop
1854,Fatima Kumar,Research & Development,Research Scientist,0.096,LOW,Natural Sciences Managers,1,Science,Priority: Science -> Domain Science Fundamentals (role-specific)
1856,Fatima Sanchez,Research & Development,Laboratory Technician,0.748,HIGH,Chemical Technicians,2,"Active Listening, Microsoft Outlook",Priority: Active Listening -> Active Listening for Managers
1857,George Anderson,Research & Development,Manufacturing Director,0.021,LOW,Industrial Production Managers,3,"Microsoft Office software, Microsoft PowerPoint, Speaking",Priority: Microsoft Office software -> Microsoft Office Essentials
1858,Liu Rodriguez,Human Resources,Human Resources,0.044,LOW,Human Resources Specialists,4,"Active Listening, Microsoft Office software, Microsoft Outlook, Speaking",Priority: Active Listening -> Active Listening for Managers
1859,Mary Park,Research & Development,Healthcare Representative,0.149,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Microsoft Outlook, Speaking",Priority: Microsoft Outlook -> Effective Email & Calendar Management
1860,Mateo Kim,Research & Development,Laboratory Technician,0.318,MEDIUM,Chemical Technicians,1,Reading Comprehension,Priority: Reading Comprehension -> Business Writing & Comprehension
1862,Jessica Rao,Sales,Sales Executive,0.952,HIGH,Sales Managers,4,"Critical Thinking, Microsoft Excel, Monitoring, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1863,Elena Torres,Sales,Sales Executive,0.046,LOW,Sales Managers,3,"Active Listening, Microsoft Outlook, Reading Comprehension",Priority: Active Listening -> Active Listening for Managers
1864,Amanda Zhang,Sales,Sales Representative,0.548,MEDIUM,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,"Active Listening, Reading Comprehension",Priority: Active Listening -> Active Listening for Managers
1865,Mateo Rivera,Human Resources,Human Resources,0.514,MEDIUM,Human Resources Specialists,1,Microsoft Office software,Priority: Microsoft Office software -> Microsoft Office Essentials
1866,Anna Torres,Research & Development,Manager,0.322,MEDIUM,General and Operations Managers,2,"Active Learning, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1867,Michael Thompson,Research & Development,Research Director,0.036,LOW,Natural Sciences Managers,2,"Microsoft Office software, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
1868,Joseph Shah,Research & Development,Research Scientist,0.949,HIGH,Natural Sciences Managers,4,"Active Listening, Critical Thinking, Microsoft PowerPoint, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
1869,Barbara Clark,Sales,Sales Executive,0.052,LOW,Sales Managers,1,Monitoring,Priority: Monitoring -> Performance Monitoring & KPIs
1870,Brian Rahman (1870),Research & Development,Research Scientist,0.281,LOW,Natural Sciences Managers,4,"Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1871,Mateo Lewis,Research & Development,Research Scientist,0.054,LOW,Natural Sciences Managers,3,"Active Listening, Critical Thinking, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1873,Wang Kumar,Research & Development,Research Scientist,0.067,LOW,Natural Sciences Managers,4,"Active Listening, Microsoft Excel, Science, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1875,Park Lee,Sales,Sales Representative,0.532,MEDIUM,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",4,"Active Learning, Microsoft Excel, Microsoft Office software, Salesforce software",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1876,Anna Green,Sales,Sales Representative,0.878,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,"Active Listening, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1878,Robert Chowdhury (1878),Research & Development,Research Scientist,0.88,HIGH,Natural Sciences Managers,2,"Microsoft Office software, Reading Comprehension",Priority: Microsoft Office software -> Microsoft Office Essentials
1880,Jennifer Reddy,Sales,Sales Executive,0.581,MEDIUM,Sales Managers,2,"Critical Thinking, Monitoring",Priority: Critical Thinking -> Structured Problem Solving workshop
1881,Priya Khan,Research & Development,Laboratory Technician,0.556,MEDIUM,Chemical Technicians,1,Microsoft Outlook,Priority: Microsoft Outlook -> Effective Email & Calendar Management
1882,Yuki Clark,Sales,Sales Executive,0.406,MEDIUM,Sales Managers,2,"Critical Thinking, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
1883,Sandra Zhao,Research & Development,Laboratory Technician,0.525,MEDIUM,Chemical Technicians,1,Microsoft Outlook,Priority: Microsoft Outlook -> Effective Email & Calendar Management
1885,Fatima Nair,Research & Development,Research Scientist,0.308,MEDIUM,Natural Sciences Managers,4,"Critical Thinking, Microsoft Excel, Microsoft PowerPoint, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1886,Susan Baker (1886),Research & Development,Manufacturing Director,0.34,MEDIUM,Industrial Production Managers,4,"Active Listening, Microsoft Outlook, Microsoft PowerPoint, Monitoring",Priority: Active Listening -> Active Listening for Managers
1888,Priya Jackson,Research & Development,Manufacturing Director,0.052,LOW,Industrial Production Managers,3,"Learning Strategies, Microsoft Office software, Microsoft PowerPoint",Priority: Microsoft Office software -> Microsoft Office Essentials
1890,Carol Nair,Human Resources,Human Resources,0.561,MEDIUM,Human Resources Specialists,4,"Active Listening, Microsoft Excel, Microsoft Office software, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1892,Zhang Allen,Research & Development,Manager,0.248,LOW,General and Operations Managers,3,"Microsoft Excel, Microsoft PowerPoint, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1893,Noor Hall,Research & Development,Research Scientist,0.814,HIGH,Natural Sciences Managers,3,"Microsoft PowerPoint, Reading Comprehension, Science",Priority: Reading Comprehension -> Business Writing & Comprehension
1898,Pooja Iyer,Sales,Sales Executive,0.164,LOW,Sales Managers,2,"Critical Thinking, Microsoft PowerPoint",Priority: Critical Thinking -> Structured Problem Solving workshop
1900,Divya Khan,Research & Development,Manager,0.034,LOW,General and Operations Managers,4,"Active Listening, Critical Thinking, Microsoft Excel, Microsoft Office software",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1903,Mei Park,Research & Development,Healthcare Representative,0.025,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Active Learning, Active Listening, Reading Comprehension",Priority: Active Listening -> Active Listening for Managers
1905,Tran Clark,Research & Development,Research Scientist,0.775,HIGH,Natural Sciences Managers,3,"Critical Thinking, Microsoft Office software, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
1907,Charles Young,Research & Development,Laboratory Technician,0.513,MEDIUM,Chemical Technicians,1,Critical Thinking,Priority: Critical Thinking -> Structured Problem Solving workshop
1908,Christopher Ahmed,Sales,Sales Executive,0.463,MEDIUM,Sales Managers,4,"Active Listening, Microsoft Excel, Microsoft Outlook, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1909,Jessica Hernandez,Sales,Sales Executive,0.149,LOW,Sales Managers,3,"Microsoft Office software, Microsoft PowerPoint, Speaking",Priority: Microsoft Office software -> Microsoft Office Essentials
1911,Choi Hall,Research & Development,Research Director,0.053,LOW,Natural Sciences Managers,4,"Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1912,Klara Wright,Sales,Sales Executive,0.235,LOW,Sales Managers,2,"Active Listening, Microsoft Outlook",Priority: Active Listening -> Active Listening for Managers
1915,William Singh,Sales,Sales Executive,0.548,MEDIUM,Sales Managers,1,Microsoft Excel,Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1916,Karen Patel,Research & Development,Laboratory Technician,0.7,HIGH,Chemical Technicians,2,"Active Listening, Monitoring",Priority: Active Listening -> Active Listening for Managers
1918,Hassan Baker,Research & Development,Laboratory Technician,0.1,LOW,Chemical Technicians,4,"Critical Thinking, Microsoft Excel, Microsoft Office software, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1922,Yuki Hernandez,Research & Development,Healthcare Representative,0.129,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,"Microsoft Excel, Microsoft Office software, Reading Comprehension, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1924,Linda Schmidt,Sales,Sales Executive,0.505,MEDIUM,Sales Managers,3,"Microsoft Excel, Microsoft Office software, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1927,Amit Carter,Sales,Sales Executive,0.494,MEDIUM,Sales Managers,3,"Active Learning, Microsoft Office software, Monitoring",Priority: Microsoft Office software -> Microsoft Office Essentials
1928,William Sanchez,Sales,Sales Representative,0.972,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,"Critical Thinking, Microsoft Office software",Priority: Critical Thinking -> Structured Problem Solving workshop
1929,Olga Patel,Sales,Sales Executive,0.262,LOW,Sales Managers,5,"Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Monitoring, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1931,Amanda Flores,Research & Development,Research Scientist,0.305,MEDIUM,Natural Sciences Managers,2,"Microsoft Excel, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1932,Steven Dubois,Research & Development,Research Scientist,0.464,MEDIUM,Natural Sciences Managers,3,"Active Listening, Critical Thinking, Science",Priority: Critical Thinking -> Structured Problem Solving workshop
1933,Arjun Wilson,Sales,Sales Executive,0.669,HIGH,Sales Managers,4,"Microsoft Excel, Microsoft PowerPoint, Monitoring, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1934,Sergei Johnson (1934),Research & Development,Research Scientist,0.029,LOW,Natural Sciences Managers,4,"Critical Thinking, Microsoft PowerPoint, Science, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
1935,Andrew Thomas,Sales,Sales Executive,0.226,LOW,Sales Managers,3,"Critical Thinking, Microsoft Excel, Microsoft Office software",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1936,Ravi Flores,Research & Development,Manufacturing Director,0.226,LOW,Industrial Production Managers,4,"Learning Strategies, Microsoft Office software, Monitoring, Reading Comprehension",Priority: Microsoft Office software -> Microsoft Office Essentials
1937,Hassan Johnson,Research & Development,Research Scientist,0.077,LOW,Natural Sciences Managers,4,"Active Listening, Critical Thinking, Microsoft Excel, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1938,Camila Wilson,Sales,Manager,0.154,LOW,General and Operations Managers,2,"Active Learning, Active Listening",Priority: Active Listening -> Active Listening for Managers
1939,Klara Shah (1939),Research & Development,Research Scientist,0.795,HIGH,Natural Sciences Managers,2,"Critical Thinking, Monitoring",Priority: Critical Thinking -> Structured Problem Solving workshop
1940,Yusuf Farooq,Research & Development,Research Scientist,0.011,LOW,Natural Sciences Managers,3,"Active Listening, Microsoft Excel, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1941,John Scott,Research & Development,Research Director,0.016,LOW,Natural Sciences Managers,3,"Critical Thinking, Microsoft PowerPoint, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
1943,Sandra Kowalski,Sales,Sales Executive,0.48,MEDIUM,Sales Managers,5,"Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1944,Sofia Lee (1944),Human Resources,Human Resources,0.973,HIGH,Human Resources Specialists,4,"Critical Thinking, Microsoft Excel, Microsoft Outlook, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1945,Hassan Siddiqui,Sales,Sales Executive,0.414,MEDIUM,Sales Managers,1,Microsoft Office software,Priority: Microsoft Office software -> Microsoft Office Essentials
1947,Christopher Khan,Research & Development,Research Scientist,0.081,LOW,Natural Sciences Managers,3,"Active Listening, Microsoft PowerPoint, Science",Priority: Active Listening -> Active Listening for Managers
1948,Sanjay Roberts,Research & Development,Research Scientist,0.104,LOW,Natural Sciences Managers,4,"Microsoft Excel, Microsoft PowerPoint, Monitoring, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1949,Tariq Lopez,Research & Development,Laboratory Technician,0.15,LOW,Chemical Technicians,2,"Critical Thinking, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
1950,Sergei Chen,Sales,Sales Executive,0.577,MEDIUM,Sales Managers,2,"Microsoft Outlook, Microsoft PowerPoint",Priority: Microsoft PowerPoint -> Presentation Design Fundamentals
1951,Timothy Novak,Sales,Sales Executive,0.159,LOW,Sales Managers,3,"Critical Thinking, Microsoft PowerPoint, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
1952,Richard Khan,Research & Development,Laboratory Technician,0.538,MEDIUM,Chemical Technicians,1,Writing,Priority: Writing -> Business Writing Essentials
1954,Marta Huang,Research & Development,Healthcare Representative,0.292,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1,Active Listening,Priority: Active Listening -> Active Listening for Managers
1955,Patricia King,Research & Development,Healthcare Representative,0.012,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,"Active Learning, Active Listening, Microsoft Office software, Microsoft Outlook",Priority: Active Listening -> Active Listening for Managers
1956,George Patel,Research & Development,Research Scientist,0.347,MEDIUM,Natural Sciences Managers,4,"Critical Thinking, Microsoft Excel, Monitoring, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1960,Chen Allen,Research & Development,Laboratory Technician,0.697,HIGH,Chemical Technicians,1,Microsoft Excel,Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1961,Barbara Hill,Sales,Sales Representative,0.895,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,"Active Listening, Critical Thinking",Priority: Critical Thinking -> Structured Problem Solving workshop
1962,Timothy Harris,Sales,Sales Executive,0.135,LOW,Sales Managers,4,"Active Learning, Microsoft Office software, Microsoft PowerPoint, Reading Comprehension",Priority: Microsoft Office software -> Microsoft Office Essentials
1965,Sarah Huang,Sales,Sales Executive,0.109,LOW,Sales Managers,4,"Active Listening, Microsoft Outlook, Microsoft PowerPoint, Reading Comprehension",Priority: Active Listening -> Active Listening for Managers
1966,Yusuf Iyer,Research & Development,Manufacturing Director,0.345,MEDIUM,Industrial Production Managers,3,"Critical Thinking, Microsoft Excel, Microsoft Outlook",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1967,Melissa Ivanova,Sales,Sales Executive,0.831,HIGH,Sales Managers,1,Microsoft Outlook,Priority: Microsoft Outlook -> Effective Email & Calendar Management
1968,Yuki White (1968),Sales,Sales Executive,0.962,HIGH,Sales Managers,1,Critical Thinking,Priority: Critical Thinking -> Structured Problem Solving workshop
1969,Tariq Shah,Research & Development,Research Scientist,0.109,LOW,Natural Sciences Managers,3,"Microsoft PowerPoint, Reading Comprehension, Writing",Priority: Reading Comprehension -> Business Writing & Comprehension
1970,Michael Ivanova,Research & Development,Healthcare Representative,0.013,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Microsoft Outlook, Reading Comprehension, Salesforce software",Priority: Reading Comprehension -> Business Writing & Comprehension
1971,Amit Farooq,Research & Development,Healthcare Representative,0.075,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Microsoft Office software, Speaking, Writing",Priority: Microsoft Office software -> Microsoft Office Essentials
1972,Camila Anderson,Human Resources,Human Resources,0.356,MEDIUM,Human Resources Specialists,2,"Active Listening, Microsoft Outlook",Priority: Active Listening -> Active Listening for Managers
1973,James Hassan,Human Resources,Manager,0.422,MEDIUM,General and Operations Managers,3,"Active Learning, Microsoft Excel, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
1974,Amit Rossi (1974),Research & Development,Laboratory Technician,0.561,MEDIUM,Chemical Technicians,2,"Microsoft Outlook, Reading Comprehension",Priority: Reading Comprehension -> Business Writing & Comprehension
1975,Dmitri Ali,Sales,Sales Executive,0.905,HIGH,Sales Managers,2,"Microsoft Excel, Microsoft PowerPoint",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
